,KiraKira,Heart,Notes,Fire,Central line,Rain,Thunder,Lens flare,Comicalize,Blur,Change contrast,Zoom in,Zoom out
COUNT,2.0,0,0,0,0,0,0,0,0,0,0,0,0
people,1.9774571061134338,0,0,0,0,0,0,0,0,0,0,0,0
fun,1.8495073318481445,0,0,0,0,0,0,0,0,0,0,0,0
sport,0.964146614074707,0,0,0,0,0,0,0,0,0,0,0,0
travel,1.4664413928985596,0,0,0,0,0,0,0,0,0,0,0,0
water,0.9605165719985962,0,0,0,0,0,0,0,0,0,0,0,0
tourism,0.9521293640136719,0,0,0,0,0,0,0,0,0,0,0,0
tourist,1.4016305208206177,0,0,0,0,0,0,0,0,0,0,0,0
recreation,1.377635419368744,0,0,0,0,0,0,0,0,0,0,0,0
summer,1.5266342163085938,0,0,0,0,0,0,0,0,0,0,0,0
leisure,1.3214806914329529,0,0,0,0,0,0,0,0,0,0,0,0
man,1.9230329394340515,0,0,0,0,0,0,0,0,0,0,0,0
sea,0.9056239128112793,0,0,0,0,0,0,0,0,0,0,0,0
vacation,1.2324311137199402,0,0,0,0,0,0,0,0,0,0,0,0
city,1.3865636587142944,0,0,0,0,0,0,0,0,0,0,0,0
action,0.903929591178894,0,0,0,0,0,0,0,0,0,0,0,0
enjoyment,1.8548513650894165,0,0,0,0,0,0,0,0,0,0,0,0
lifestyle,1.6368390321731567,0,0,0,0,0,0,0,0,0,0,0,0
swimming,0.886306643486023,0,0,0,0,0,0,0,0,0,0,0,0
event,1.3299384415149689,0,0,0,0,0,0,0,0,0,0,0,0
tree,0.8722695708274841,0,0,0,0,0,0,0,0,0,0,0,0
outdoors,1.8293472528457642,0,0,0,0,0,0,0,0,0,0,0,0
beach,0.867719292640686,0,0,0,0,0,0,0,0,0,0,0,0
relaxation,1.471412479877472,0,0,0,0,0,0,0,0,0,0,0,0
boat,0.8619822263717651,0,0,0,0,0,0,0,0,0,0,0,0
woman,1.837343990802765,0,0,0,0,0,0,0,0,0,0,0,0
adult,1.8150567412376404,0,0,0,0,0,0,0,0,0,0,0,0
seashore,0.8455845713615417,0,0,0,0,0,0,0,0,0,0,0,0
group,1.7403861284255981,0,0,0,0,0,0,0,0,0,0,0,0
hurry,0.8320028781890869,0,0,0,0,0,0,0,0,0,0,0,0
street,1.3888309001922607,0,0,0,0,0,0,0,0,0,0,0,0
person,1.0656996369361877,0,0,0,0,0,0,0,0,0,0,0,0
vehicle,0.8070319890975952,0,0,0,0,0,0,0,0,0,0,0,0
watercraft,0.8050767183303833,0,0,0,0,0,0,0,0,0,0,0,0
dug-out pool,0.8024940490722656,0,0,0,0,0,0,0,0,0,0,0,0
horizontal plane,0.7955174446105957,0,0,0,0,0,0,0,0,0,0,0,0
panoramic,1.1259524822235107,0,0,0,0,0,0,0,0,0,0,0,0
child,1.6108586192131042,0,0,0,0,0,0,0,0,0,0,0,0
ocean,0.7904406189918518,0,0,0,0,0,0,0,0,0,0,0,0
group together,1.6028664708137512,0,0,0,0,0,0,0,0,0,0,0,0
park,1.0515880584716797,0,0,0,0,0,0,0,0,0,0,0,0
happiness,1.7311826348304749,0,0,0,0,0,0,0,0,0,0,0,0
festival,0.7731586694717407,0,0,0,0,0,0,0,0,0,0,0,0
transportation system,0.7661951780319214,0,0,0,0,0,0,0,0,0,0,0,0
many,1.0754132568836212,0,0,0,0,0,0,0,0,0,0,0,0
exhilaration,1.3678655624389648,0,0,0,0,0,0,0,0,0,0,0,0
beautiful,0.7423436045646667,0,0,0,0,0,0,0,0,0,0,0,0
resort,0.73841392993927,0,0,0,0,0,0,0,0,0,0,0,0
competition,0.7301653623580933,0,0,0,0,0,0,0,0,0,0,0,0
sky,0.730026125907898,0,0,0,0,0,0,0,0,0,0,0,0
sunny,0.6992263793945312,0,0,0,0,0,0,0,0,0,0,0,0
slide,0.6988788843154907,0,0,0,0,0,0,0,0,0,0,0,0
bay,0.6977593898773193,0,0,0,0,0,0,0,0,0,0,0,0
entertainment,0.6976983547210693,0,0,0,0,0,0,0,0,0,0,0,0
crowd,1.1463988721370697,0,0,0,0,0,0,0,0,0,0,0,0
swimming pool,0.6756322979927063,0,0,0,0,0,0,0,0,0,0,0,0
joy,1.345007300376892,0,0,0,0,0,0,0,0,0,0,0,0
urban,0.6679754257202148,0,0,0,0,0,0,0,0,0,0,0,0
hotel,0.8904719650745392,0,0,0,0,0,0,0,0,0,0,0,0
chair,1.1155502498149872,0,0,0,0,0,0,0,0,0,0,0,0
exercise,0.6587866544723511,0,0,0,0,0,0,0,0,0,0,0,0
luxury,0.9867820143699646,0,0,0,0,0,0,0,0,0,0,0,0
river,0.6561101675033569,0,0,0,0,0,0,0,0,0,0,0,0
kayak,0.6484366655349731,0,0,0,0,0,0,0,0,0,0,0,0
adventure,0.6387458443641663,0,0,0,0,0,0,0,0,0,0,0,0
landscape,0.6381763219833374,0,0,0,0,0,0,0,0,0,0,0,0
frolic,0.6238663196563721,0,0,0,0,0,0,0,0,0,0,0,0
sun,0.619858980178833,0,0,0,0,0,0,0,0,0,0,0,0
island,0.6160314679145813,0,0,0,0,0,0,0,0,0,0,0,0
road,0.6080554723739624,0,0,0,0,0,0,0,0,0,0,0,0
water sports,0.6045063734054565,0,0,0,0,0,0,0,0,0,0,0,0
active,0.6030259728431702,0,0,0,0,0,0,0,0,0,0,0,0
fair weather,1.0717926025390625,0,0,0,0,0,0,0,0,0,0,0,0
boy,1.0332107841968536,0,0,0,0,0,0,0,0,0,0,0,0
lake,0.5959233045578003,0,0,0,0,0,0,0,0,0,0,0,0
daylight,0.969675749540329,0,0,0,0,0,0,0,0,0,0,0,0
